Model & Params,Train R2,Test R2,Train RMSE,Test RMSE,RMSE Gap(%)
"Decision Tree: {'max_depth': 10, 'min_samples_split': 10}",0.7644936936444073,0.6320671190930881,0.32564253472698085,0.4037051941082315,23.971886672205926
"Decision Tree: {'max_depth': 10, 'min_samples_split': 5}",0.772824073884291,0.6287666754441907,0.31983133406341085,0.4055118165129825,26.78927088256598
"Decision Tree: {'max_depth': 10, 'min_samples_split': 2}",0.7777433829379714,0.6231411548159135,0.3163495389453762,0.4085727456517314,29.15231266459323
"Decision Tree: {'max_depth': 5, 'min_samples_split': 5}",0.6642528423862283,0.6178027488893519,0.3888177012518915,0.41145639455265576,5.822444098577187
"Decision Tree: {'max_depth': 5, 'min_samples_split': 10}",0.663943536164709,0.6177390365679001,0.3889967586852803,0.4114906880353847,5.782549300957862
