names,budget_x,revenue,score_scaled,budget_x_scaled,revenue_scaled,year_scaled,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_Unknown,genre_War,genre_Western,lang_ Chinese,lang_ English,lang_ French,lang_ German,lang_ Italian,lang_ Japanese,lang_ Korean,"lang_ Spanish, Castilian",lang_Other,country_ES,country_FR,country_GB,country_HK,country_IT,country_JP,country_KR,country_Other,country_US,status_ Post Production,status_ Released
Plane,25000000.0,51000000.0,0.3333333333333333,-0.2760600706713781,-0.27506792978476713,0.5555555555555556,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
The Passion of the Christ,25000000.0,622313635.0,0.75,-0.2760600706713781,1.180025935144203,-0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Batman: The Doom That Came to Gotham,145760000.0,321934831.2,-0.08333333333333333,1.0574204946996466,0.4149831849145803,0.5555555555555556,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Shazam! Fury of the Gods,125000000.0,132107025.0,0.3333333333333333,0.8281802120141343,-0.06849429448173325,0.5555555555555556,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Consecration,54060000.0,492646395.4,0.0,0.0448321554770318,0.8497730000392413,0.5555555555555556,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Shark Side of the Moon,10000.0,17887093.8,-1.0,-0.5520097173144877,-0.35940406970831096,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Black Adam,200000000.0,391261706.0,0.5,1.6563604240282686,0.5915536429191033,0.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Money Shot: The Pornhub Story,68500000.0,280052393.0,-0.5833333333333334,0.2042844522968198,0.30831169111575524,0.5555555555555556,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
M3GAN,12000000.0,167643991.0,0.75,-0.4196113074204947,0.02201574770339577,0.5555555555555556,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Ant-Man and the Wasp: Quantumania,200000000.0,466001332.0,-0.16666666666666666,1.6563604240282686,0.781909980659381,0.5555555555555556,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Sayen,73800000.0,370426090.8,-0.25,0.2628091872791519,0.5384868613963049,0.5555555555555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
Die Hart,113000000.0,369995579.2,-0.25,0.6956713780918727,0.5373903799725055,0.5555555555555556,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
13 Exorcisms,2480000.0,1891519.0,-0.8333333333333334,-0.5247349823321554,-0.40014362383691576,0.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
H.P. Lovecraft's Witch House,146740000.0,301123555.2,-0.4166666666666667,1.0682420494699647,0.3619783935464494,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
